ID,Inhibition
TEST_000,8.038038
TEST_001,47.122772
TEST_002,21.699278
TEST_003,15.589047
TEST_004,41.007305
TEST_005,22.58587
TEST_006,42.39449
TEST_007,23.454853
TEST_008,38.883255
TEST_009,18.041555
TEST_010,26.245638
TEST_011,32.845764
TEST_012,14.876916
TEST_013,37.49963
TEST_014,23.588982
TEST_015,29.098764
TEST_016,17.69679
TEST_017,38.947727
TEST_018,30.233522
TEST_019,35.930588
TEST_020,23.290913
TEST_021,13.510333
TEST_022,53.13474
TEST_023,36.115635
TEST_024,17.454712
TEST_025,50.70365
TEST_026,41.739616
TEST_027,22.519255
TEST_028,48.504738
TEST_029,27.959553
TEST_030,20.113955
TEST_031,33.96155
TEST_032,19.910582
TEST_033,27.924688
TEST_034,44.846233
TEST_035,28.310564
TEST_036,49.383156
TEST_037,44.166916
TEST_038,31.386496
TEST_039,25.462769
TEST_040,69.10955
TEST_041,32.466774
TEST_042,25.245714
TEST_043,45.22826
TEST_044,23.62592
TEST_045,7.507258
TEST_046,34.450485
TEST_047,29.112953
TEST_048,8.153339
TEST_049,19.54242
TEST_050,35.986473
TEST_051,48.714367
TEST_052,26.85743
TEST_053,31.295523
TEST_054,16.098705
TEST_055,55.88028
TEST_056,23.098618
TEST_057,41.03081
TEST_058,71.340675
TEST_059,30.377083
TEST_060,15.639899
TEST_061,-0.54773784
TEST_062,18.396587
TEST_063,29.763874
TEST_064,41.024723
TEST_065,11.560053
TEST_066,27.956738
TEST_067,58.019722
TEST_068,16.574938
TEST_069,55.97662
TEST_070,30.564934
TEST_071,46.53985
TEST_072,42.826042
TEST_073,30.235094
TEST_074,50.440933
TEST_075,24.177895
TEST_076,48.130978
TEST_077,28.094315
TEST_078,31.743202
TEST_079,29.460188
TEST_080,80.345894
TEST_081,35.965004
TEST_082,10.541753
TEST_083,15.630344
TEST_084,29.178003
TEST_085,42.48315
TEST_086,6.0665617
TEST_087,23.322681
TEST_088,56.45961
TEST_089,30.09566
TEST_090,40.191746
TEST_091,12.890658
TEST_092,64.21718
TEST_093,21.057793
TEST_094,31.261032
TEST_095,43.220608
TEST_096,32.06904
TEST_097,37.54335
TEST_098,22.962046
TEST_099,26.762918
