ID,Inhibition
TEST_000,44.374687
TEST_001,45.185814
TEST_002,31.003765
TEST_003,34.65656
TEST_004,23.142431
TEST_005,18.295137
TEST_006,23.63932
TEST_007,23.00905
TEST_008,50.197357
TEST_009,2.88478
TEST_010,19.142262
TEST_011,12.250555
TEST_012,7.95796
TEST_013,34.104397
TEST_014,22.967333
TEST_015,10.931
TEST_016,16.338837
TEST_017,23.102552
TEST_018,41.202557
TEST_019,30.427383
TEST_020,19.452028
TEST_021,37.21281
TEST_022,48.256016
TEST_023,29.58375
TEST_024,42.274387
TEST_025,28.394793
TEST_026,40.227856
TEST_027,12.95003
TEST_028,36.247795
TEST_029,24.332525
TEST_030,11.05439
TEST_031,14.741124
TEST_032,15.521093
TEST_033,47.86076
TEST_034,20.58867
TEST_035,16.073315
TEST_036,48.072453
TEST_037,27.917128
TEST_038,34.021767
TEST_039,35.570778
TEST_040,55.18019
TEST_041,15.068865
TEST_042,25.662064
TEST_043,19.57045
TEST_044,38.191452
TEST_045,13.397118
TEST_046,15.775337
TEST_047,38.830494
TEST_048,24.334484
TEST_049,30.524715
TEST_050,23.082817
TEST_051,61.121082
TEST_052,52.62157
TEST_053,14.225886
TEST_054,12.728134
TEST_055,49.093807
TEST_056,16.364923
TEST_057,26.15042
TEST_058,47.466843
TEST_059,49.961494
TEST_060,21.407013
TEST_061,36.167404
TEST_062,21.250904
TEST_063,49.207214
TEST_064,33.495815
TEST_065,26.122309
TEST_066,30.444134
TEST_067,30.246807
TEST_068,38.90776
TEST_069,18.531174
TEST_070,17.935896
TEST_071,28.246058
TEST_072,20.80184
TEST_073,17.877924
TEST_074,34.3934
TEST_075,19.562021
TEST_076,24.558392
TEST_077,19.498575
TEST_078,33.63216
TEST_079,37.6809
TEST_080,23.94682
TEST_081,14.430078
TEST_082,15.108601
TEST_083,29.531046
TEST_084,27.400784
TEST_085,22.826204
TEST_086,31.078018
TEST_087,38.273045
TEST_088,24.563635
TEST_089,29.81785
TEST_090,24.31182
TEST_091,38.906406
TEST_092,62.381878
TEST_093,32.367027
TEST_094,33.179413
TEST_095,39.191753
TEST_096,34.296947
TEST_097,51.93143
TEST_098,46.78603
TEST_099,49.92556
