ID,Inhibition
TEST_000,28.400986
TEST_001,32.179302
TEST_002,29.259905
TEST_003,42.08463
TEST_004,10.084908
TEST_005,13.0245905
TEST_006,39.175644
TEST_007,15.306252
TEST_008,59.137573
TEST_009,0.0
TEST_010,28.635
TEST_011,2.713328
TEST_012,1.7693408
TEST_013,45.752422
TEST_014,37.2
TEST_015,6.641842
TEST_016,14.426081
TEST_017,37.2331
TEST_018,58.308117
TEST_019,19.829313
TEST_020,17.737642
TEST_021,23.151974
TEST_022,33.65246
TEST_023,26.066603
TEST_024,43.57563
TEST_025,32.95677
TEST_026,39.40299
TEST_027,30.339767
TEST_028,36.89348
TEST_029,17.001045
TEST_030,8.265045
TEST_031,12.2518635
TEST_032,5.840969
TEST_033,41.40319
TEST_034,27.37793
TEST_035,12.101294
TEST_036,58.670864
TEST_037,30.083904
TEST_038,39.20098
TEST_039,28.602118
TEST_040,33.179684
TEST_041,28.213936
TEST_042,28.6
TEST_043,9.998361
TEST_044,18.404472
TEST_045,0.5
TEST_046,10.889907
TEST_047,34.69034
TEST_048,16.857054
TEST_049,31.47618
TEST_050,28.594423
TEST_051,47.097572
TEST_052,42.309586
TEST_053,3.4685745
TEST_054,15.852256
TEST_055,42.905464
TEST_056,15.670655
TEST_057,4.2791834
TEST_058,44.921177
TEST_059,28.31055
TEST_060,27.118793
TEST_061,38.441204
TEST_062,22.413782
TEST_063,51.133286
TEST_064,29.586018
TEST_065,33.963383
TEST_066,26.15156
TEST_067,26.1
TEST_068,58.822823
TEST_069,11.975988
TEST_070,7.835494
TEST_071,7.8793335
TEST_072,23.20674
TEST_073,13.678488
TEST_074,29.195967
TEST_075,23.616629
TEST_076,9.872526
TEST_077,22.061392
TEST_078,65.80895
TEST_079,37.2331
TEST_080,19.229265
TEST_081,15.606377
TEST_082,7.97452
TEST_083,20.962774
TEST_084,16.684696
TEST_085,10.608729
TEST_086,20.301298
TEST_087,28.40457
TEST_088,17.322283
TEST_089,26.770746
TEST_090,33.291008
TEST_091,50.661102
TEST_092,36.6615
TEST_093,13.1121
TEST_094,43.00806
TEST_095,35.270298
TEST_096,38.173714
TEST_097,48.57257
TEST_098,40.119465
TEST_099,70.9305
